Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Beaulieu, Jean-Franeois",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Improving the diagnosis of colorectal cancer using fecal mRNA and protein markers: The integrin alpha 6A subunit,160000,0,160000,1,1,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GASTROINTESTINAL (LIVER); CANCER,2014-04-01,2015-03-31,1,1,,0,"{""level1_ip"": [{""title"": ""Proliferation-associated modulation of the splicing of the integrin alpha 6 isoforms"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Beaulieu, Jean-Francois"", ""description"": ""Patent application related to modulation of integrin alpha 6 isoforms relevant to colorectal cancer diagnosis using fecal mRNA markers.""}], ""level2_companies"": []}",47:05.4
"Beaulieu, Martin",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Cells lines for screening GPCR/Nav signaling compound,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CELL BIOLOGY,2013-10-01,2014-09-30,1,1,,0,"{""level1_ip"": [{""title"": ""Transgenic cells co-expressing ionic channels and GPCRs for screening GPCR signaling compounds"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""Beaulieu, Martin et al."", ""description"": ""Patent WO2014059544A1 describes transgenic cells co-expressing voltage gated sodium channels (NaV) and GPCRs for screening GPCR/Nav signaling compounds, directly relevant to the project title and research area.""}], ""level2_companies"": []}",47:05.4
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,100000,0,236750,1,4,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-03-01,2024-02-29,0,0,,1,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,956250,0,,3,,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-10-01,2026-09-30,0,,Voronoi Health Analytics Incorporated,,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Voronoi Health Analytics Incorporated"", ""founding_year"": 2023, ""industry"": ""Health Analytics / Medical Imaging Software"", ""connection"": ""Co-founded by Mirza Faisal Beg; commercializes DAFS software directly related to the project for body composition measurement from CT images.""}]}",47:05.4
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,136750,0,296750,1,2,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,2011-04-01,2012-03-31,2,2,"Turnstone Biologics, Inc.",1,"{""level1_ip"": [{""title"": ""COMPOSITIONS AND METHODS FOR VIRAL SENSITIZATION"", ""type"": ""patent application"", ""filing_year"": 2020, ""assignee"": ""University of Ottawa"", ""description"": ""Patent application providing compounds that enhance virus efficacy and increase viral titers in cells by viral sensitization, filed after 2010, with John C. Bell as inventor.""}, {""title"": ""Modified Vaccinia Virus Vectors and Methods for Enhanced Virus Growth"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""University of Ottawa"", ""description"": ""Patent covering modified vaccinia virus vectors and viral sensitizer technology to improve virus growth and manufacturing scalability, filed after 2010, with John C. Bell as inventor.""}], ""level2_companies"": [{""company_name"": ""Turnstone Biologics, Inc."", ""founding_year"": 2014, ""industry"": ""Biotechnology - Oncolytic Viruses"", ""connection"": ""Founded by John C. Bell; focuses on oncolytic virus therapies but not specifically viral sensitizer technology for vaccine manufacturing.""}]}",47:05.4
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Biological Viral Sensitizers for GMP Manufacturing,123000,37000,,1,,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; VIROLOGY,2014-04-01,2015-03-31,0,,,,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Benard, Francois",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours",160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,2015-10-01,2016-09-30,1,1,"Alpha-9 Oncology, Inc.",1,"{""level1_ip"": [{""title"": ""Organotrifluoroborate compositions for 18F-PET use including [18F]AMBF3-TATE"", ""type"": ""composition of matter patent"", ""filing_year"": 2016, ""assignee"": ""University of British Columbia and BC Cancer Research Agency"", ""description"": ""Patent covering the composition and use of [18F]AMBF3-TATE as a novel imaging probe for neuroendocrine tumours, filed after February 2015 with Fran\u00e7ois B\u00e9nard as co-inventor.""}], ""level2_companies"": [{""company_name"": ""Alpha-9 Oncology, Inc."", ""founding_year"": 2017, ""industry"": ""Biotechnology / Medical Imaging"", ""connection"": ""Founded by Fran\u00e7ois B\u00e9nard; holds license to [18F]AMBF3-TATE technology and commercializes the imaging probe for neuroendocrine tumours.""}]}",47:05.4
"Bergeron, Michel G",Universite Laval,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,"Developpement, optimisation et multiplexage d'un oligonucleotide synthetique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule etape. PDP PhaseI",160000,0,160000,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY; BACTERIOLOGY,2015-04-01,2016-03-31,1,1,,0,"{""level1_ip"": [{""title"": ""Oligonucleotide synthesis and DNA amplification technology"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""GENEOHM SCIENCES CANADA, INC."", ""description"": ""Patent related to oligonucleotide synthesis and DNA amplification technologies filed by Michel G. Bergeron on October 15, 2014, and granted August 14, 2018.""}], ""level2_companies"": []}",47:05.4
"Bernatchez, Pascal N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,158389,0,158389,1,1,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,2013-04-01,2014-03-31,3,3,,0,"{""level1_ip"": [{""title"": ""Treatment of Pulmonary Arterial Hypertension by Administering Paliperidone"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Bernatchez, Pascal N"", ""description"": ""US Patent 11,040,041 issued June 22, 2021, covering novel compounds for treatment of pulmonary hypertension.""}, {""title"": ""Treatment of Pulmonary Hypertension with Ambrisentan"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""Bernatchez, Pascal N"", ""description"": ""US Patent US8377933B2 published February 19, 2013, related to treating pulmonary hypertension with ambrisentan (priority date 2012-12-21).""}, {""title"": ""Treatment of Pulmonary Hypertension with Leukotriene Inhibitors"", ""type"": ""Patent Application"", ""filing_year"": 2013, ""assignee"": ""Bernatchez, Pascal N"", ""description"": ""US Patent Application US20130251787A1 published September 26, 2013, on treatment of pulmonary hypertension with leukotriene inhibitors.""}], ""level2_companies"": []}",47:05.4
"Biddiss, Elaine A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness",409276,0,409276,3,3,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-04-01,2023-03-31,0,0,Pearl Interactives,1,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Pearl Interactives"", ""founding_year"": 2020, ""industry"": ""Health and Wellness Technology"", ""connection"": ""Co-founded by Elaine A. Biddiss; commercializes the BootleBlast movement tracking video game for home-based motor therapy""}]}",47:05.4
"Boerkoel, Cornelius F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,159927,0,159927,1,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-10-01,2012-09-30,0,0,"Rare Disease Foundation, Appistry, Inc.",2,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Rare Disease Foundation"", ""founding_year"": 2012, ""industry"": ""Non-profit/Foundation"", ""connection"": ""Co-founded by Boerkoel, Cornelius F; not directly related to Tdp1 inhibitors""}, {""company_name"": ""Appistry, Inc."", ""founding_year"": 2000, ""industry"": ""Genomics Software and Services"", ""connection"": ""Boerkoel, Cornelius F joined as Chief Medical Officer in 2014; no direct licensing or commercialization of Tdp1 inhibitor technology found""}]}",47:05.4
"Bohbot, Veronique",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,160000,0,160000,1,1,Aging,ALZHEIMER'S DISEASE; HEALTH PROMOTION,2014-10-01,2015-09-30,3,3,"NeuroNautilus Inc., NeuroNautilus.com (McGill University startup)",1,"{""level1_ip"": [{""title"": ""Computer generated three dimensional virtual reality environment for improving memory"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Veronique Bohbot"", ""description"": ""A 3D virtual reality environment designed to improve spatial memory, consistent with the spatial memory improvement program developed by Bohbot.""}, {""title"": ""Computer generated three dimensional virtual reality environment for improving memory"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Veronique Bohbot"", ""description"": ""Similar patent describing a 3D virtual reality environment for improving memory by Veronique Bohbot.""}, {""title"": ""Computer generated three dimensional virtual reality environment for improving spatial memory"", ""type"": ""patent"", ""filing_year"": 2018, ""assignee"": ""Veronique Bohbot"", ""description"": ""Patent related to a computer-generated 3D virtual reality environment for improving spatial memory.""}], ""level2_companies"": [{""company_name"": ""NeuroNautilus Inc."", ""founding_year"": 2015, ""industry"": ""Cognitive health technology"", ""connection"": ""Founded and led by Veronique Bohbot; commercializes technology related to spatial memory improvement research.""}, {""company_name"": ""NeuroNautilus.com (McGill University startup)"", ""founding_year"": 2016, ""industry"": ""Health technology commercialization"", ""connection"": ""Founded/co-founded by Veronique Bohbot; linked to commercialization of spatial memory improvement program.""}]}",47:05.4
"Boisselier Mailfait, Elodie",Universite Laval,Quebec,Project Grant,202003PJT,Commercialization,Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or,550800,0,550800,5,5,"Neurosciences, Mental Health and Addiction",Commercialization-Intellectual Property,2020-10-01,2025-09-30,1,1,,0,"{""level1_ip"": [{""title"": ""Ultrastable and Mucoadhesive Gold Nanoparticles for Ophthalmic Drug Delivery"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Boisselier Mailfait, Elodie"", ""description"": ""Patent covering synthesis and application of gold nanoparticles as vectors for ophthalmic medications, directly related to the project 'Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or'.""}], ""level2_companies"": []}",47:05.4
"Boivin, Guy",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,150000,0,150000,1,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2010-04-01,2011-03-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
