Researcher_Name,Project_Title,Company_name,Series_A,Series_A_Investment,Series_B,Series_B_Investment,Series_C,Series_C_Investment,Other_Funding_rounds,Clinical_Trials,Exits,Exit_Amount,Company_outcomes
"Bell, John C",Increasing vaccine manufacturing output using viral sensitizer technology,Inc.,TRUE,7000000,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2022, ""amount"": ""$7 million"", ""investors"": ""Footwork, CRV, ARTIS Ventures, South Park Commons, AirAngels""}], ""clinical_trials"": [], ""exits"": []}"
"Bell, John C",Increasing vaccine manufacturing output using viral sensitizer technology,Turnstone Biologics,TRUE,11300000,TRUE,41400000,FALSE,null,80000000,3,TRUE,80000000,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2015, ""amount"": ""$11.3 million"", ""investors"": ""Versant Ventures""}, {""round"": ""Series B"", ""year"": 2016, ""amount"": ""$41.4 million"", ""investors"": ""OrbiMed, F-Prime Capital Partners, FACIT, Versant Ventures""}, {""round"": ""Series D"", ""year"": 2021, ""amount"": ""$80 million"", ""investors"": ""PFM Health Sciences, Point72, Eventide Asset Management, Surveyor Capital, Ridgeback Capital Investments, Takeda Ventures, CaaS Capital, JM Family Enterprises, Northleaf Capital Partners, 404 Bio, Versant Ventures, OrbiMed, F-Prime Capital, Sectoral Asset Management, Sixty Degree Capital, Brace Pharma Capital, Teralys Capital""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Phase 1"", ""condition"": ""solid tumors including colorectal cancer, head and neck cancer, uveal melanoma, melanoma, breast cancer""}, {""year"": 2024, ""stage"": ""Phase 1"", ""condition"": ""metastatic microsatellite stable colorectal cancer""}, {""year"": 2024, ""stage"": ""Phase 1"", ""condition"": ""colorectal cancer, head and neck cancer, uveal melanoma""}], ""exits"": [{""type"": ""IPO"", ""date"": ""July 21, 2023"", ""amount"": ""$80 million""}]}"
"Benard, Francois","Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours",Alpha-9 Oncology,TRUE,8900000,TRUE,75000000,TRUE,175000000,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2021, ""amount"": ""$8.9 million"", ""investors"": ""Nextech Invest, Frazier Life Sciences, Samsara BioCapital, Quark Venture, Longitude Capital, BVF Partners""}, {""round"": ""Series B"", ""year"": 2022, ""amount"": ""$75 million"", ""investors"": ""Nextech Invest, Frazier Life Sciences, Samsara BioCapital, Quark Venture, Longitude Capital, BVF Partners""}, {""round"": ""Series C"", ""year"": 2024, ""amount"": ""$175 million"", ""investors"": ""Lightspeed Venture Partners, Ascenta Capital, General Catalyst, a16z Bio + Health, RA Capital Management, Janus Henderson Investors, Delos Capital, Digitalis Ventures, Lumira Ventures, abrdn Inc., Frazier Life Sciences, Longitude Capital, Nextech Invest, BVF Partners, Samsara BioCapital""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Phase 1"", ""condition"": ""Locally advanced or metastatic melanoma (A9-3202 targeting melanocortin 1 receptor MC1R)""}], ""exits"": []}"
"Biddiss, Elaine A","BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness",Pearl Interactives,FALSE,null,TRUE,75000000,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [{""round"": ""Series B"", ""year"": 2023, ""amount"": ""$75 million"", ""investors"": ""Andreessen Horowitz Growth Fund, Viking Global Investors, AlleyCorp, SV Angel Growth Fund, others""}], ""clinical_trials"": [], ""exits"": []}"
"Boerkoel, Cornelius F",Development of Tdp1 inhibitors for treating cancer,Appistry,TRUE,12000000,FALSE,null,FALSE,null,206300000,0,TRUE,271000000,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2011, ""amount"": ""$12 million"", ""investors"": ""eXome Capital, Stuart Mill, other private and existing investors""}, {""round"": ""Series A"", ""year"": 2016, ""amount"": ""$4 million (part of planned $8.6 million)"", ""investors"": ""Arsenal Capital Management""}, {""round"": ""Multiple rounds"", ""year"": 2016, ""amount"": ""$44.3 million total over 12 rounds"", ""investors"": ""3 investors including Stuart Mill Venture Partners""}, {""round"": ""Multiple rounds"", ""year"": 2012, ""amount"": ""$162 million total over 6 rounds"", ""investors"": ""22 investors including Sequoia, Softbank, Line""}], ""clinical_trials"": [], ""exits"": [{""type"": ""IPO"", ""date"": ""2021-03-29"", ""amount"": ""$271 million"", ""valuation"": ""Appier IPO on Tokyo Stock Exchange; first Taiwanese company to list in Japan since 1998""}]}"
"Boerkoel, Cornelius F",Development of Tdp1 inhibitors for treating cancer,Rare Disease Foundation,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Bohbot, Veronique",Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,NeuroNautilus.com (McGill University startup),FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Boyd, Daniel",,ABK Biomedical,,,,,,,,,,,
"Brouillette, Martin",,"Laculor Injection, inc.",,,,,,,,,,,
"Brouillette, Martin",Device for recanalization of peripheral and coronary arteries,Skyrenu,FALSE,null,FALSE,null,FALSE,null,0,0,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Brouillette, Martin",Device for recanalization of peripheral and coronary arteries,Soundbite Medical Solutions,TRUE,2400000,FALSE,null,FALSE,null,0,3,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2016, ""amount"": ""$2.4M"", ""investors"": ""Not specified""}, {""round"": ""Seed"", ""year"": 2016, ""amount"": ""$5M"", ""investors"": ""Not specified""}, {""round"": ""Series A"", ""year"": 2018, ""amount"": ""$19.9M"", ""investors"": ""Fidelity Investments Canada ULC and other Canadian, US, French, and Chinese investors""}], ""clinical_trials"": [{""year"": 2018, ""stage"": ""Pivotal trial completed"", ""condition"": ""Peripheral artery disease with chronic total occlusions (CTOs)""}, {""year"": 2020, ""stage"": ""FDA IDE Approval for ACTIVE Clinical Study"", ""condition"": ""Coronary artery disease""}, {""year"": 2023, ""stage"": ""Prospective, multi-center, non-randomized clinical study"", ""condition"": ""Peripheral chronic total occlusions""}], ""exits"": []}"
"Burt, Helen M",Intravesical Taxanes,Centre for Drug Research and Development (CDRD) / adMare BioInnovations,FALSE,null,TRUE,92000000,FALSE,null,0,2,TRUE,null,"{""venture_funding"": [{""round"": ""Series B"", ""year"": 2021, ""amount"": ""$92 million CAD"", ""investors"": ""Government of Canada (Innovation, Science and Industry), provincial partners""}, {""round"": ""Undisclosed"", ""year"": 2020, ""amount"": ""Undisclosed"", ""investors"": ""Acquisition of Accel-Rx Health Sciences Accelerator by adMare BioInnovations""}, {""round"": ""Series B"", ""year"": 2024, ""amount"": ""CA$57 million"", ""investors"": ""adMare BioInnovations and 4 other investors (for KisoJi Biotechnology)""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Phase I"", ""condition"": ""Hypoglycemia prevention in Type 1 diabetes (Zucara Therapeutics' ZT-01 drug candidate)""}, {""year"": 2023, ""stage"": ""Clinical-stage"", ""condition"": ""Acute asthma treatment (NEO6860, licensed to AazeinTx Inc.)""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""August 10, 2023"", ""amount"": ""Undisclosed"", ""details"": ""Inversago Pharma portfolio exit by adMare BioInnovations""}, {""type"": ""Acquisition"", ""date"": ""January 9, 2020"", ""amount"": ""Undisclosed"", ""details"": ""adMare BioInnovations acquired Accel-Rx Health Sciences Accelerator""}]}"
"Cashman, Neil R",,Caprion Proteomics inc.,,,,,,,,,,,
"Cashman, Neil R",A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,ProMIS Neurosciences,FALSE,null,FALSE,null,FALSE,null,144600031,3,TRUE,null,"{""venture_funding"": [{""round"": ""Private Placement"", ""year"": 2023, ""amount"": ""$20.4 million"", ""investors"": ""Undisclosed private investors including Mike Gordon of Fenway Sports Group, the Kraft Group, Henry McCance, Jeremy Sclar""}, {""round"": ""Private Placement"", ""year"": 2024, ""amount"": ""Up to $122.7 million (initial $30.3 million upfront plus up to $92.4 million via warrants)"", ""investors"": ""Undisclosed investors including insider Jeremy Sclar""}, {""round"": ""Post-IPO Equity"", ""year"": 2005, ""amount"": ""IPO on September 30, 2005"", ""investors"": ""Public market""}, {""round"": ""Private Placement"", ""year"": 2024, ""amount"": ""$1.5 million by insider Jeremy Sclar"", ""investors"": ""Jeremy Sclar""}, {""round"": ""Private Placement"", ""year"": 2024, ""amount"": ""Acquisitions by institutional investors Great Point Partners and Armistice Capital, each acquiring significant stakes at $1.25 per share"", ""investors"": ""Great Point Partners, Armistice Capital""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Phase 1a (completed)"", ""condition"": ""Alzheimer's disease (healthy volunteers)""}, {""year"": 2024, ""stage"": ""Phase 1b (initiated)"", ""condition"": ""Alzheimer's disease (patients with Mild Cognitive Impairment and mild AD)""}, {""year"": 2025, ""stage"": ""Phase 1b ongoing (PRECISE-AD trial)"", ""condition"": ""Alzheimer's disease""}], ""exits"": [{""type"": ""IPO"", ""date"": ""September 30, 2005"", ""amount"": ""Not specified, public listing on Toronto Stock Exchange and OTCQB Venture Market""}]}"
"Chemtob, Sylvain",,"Livmor Therapeutics, Inc., ",,,,,,,,,,,
"Chemtob, Sylvain",,Maternica Therapeutics,,,,,,,,,,,
"Cherkasov, Artem",First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,Arctoris Inc.,TRUE,3930000,FALSE,null,FALSE,null,0,3,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2019, ""amount"": ""$3.93M"", ""investors"": ""RT Partners, Patrick Pichette, Vishal Gulati, Future Planet Capital, Formic Ventures, Tanarra Capital, Charles Songhurst, Alexander Straub, TD Veen AS""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Preclinical"", ""condition"": ""Oncology and Neurology""}, {""year"": 2020, ""stage"": ""Drug discovery and preclinical development"", ""condition"": ""COVID-19 (in partnership with Insilico Medicine)""}, {""year"": 2023, ""stage"": ""Drug discovery"", ""condition"": ""Non-Small Cell Lung Cancer (joint venture with Evariste Technologies)""}], ""exits"": []}"
"Cherkasov, Artem",First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,InhibRx Therapeutics,FALSE,null,FALSE,null,FALSE,null,null,5,TRUE,1700000000,"{""venture_funding"": [{""round"": ""Convertible Promissory Note"", ""year"": 2019, ""amount"": ""$40 million"", ""investors"": ""Viking Global Investors, RA Capital, Lilly Asia Ventures, ArrowMark Partners, WuXi Biologics, Alexandria Real Estate Equities""}, {""round"": ""Private Placement Financing"", ""year"": 2023, ""amount"": ""$200 million"", ""investors"": ""TCGX (co-lead investor)""}, {""round"": ""IPO"", ""year"": 2020, ""amount"": ""$119 million"", ""investors"": ""Public investors""}, {""round"": ""Funding Round"", ""year"": 2025, ""amount"": ""$150 million"", ""investors"": ""Not specified""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Phase 1"", ""condition"": ""Chondrosarcoma (INBRX-109)""}, {""year"": 2023, ""stage"": ""Registration-enabling trial (Phase 2)"", ""condition"": ""Alpha-1 Antitrypsin Deficiency (INBRX-101)""}, {""year"": 2023, ""stage"": ""Phase 1"", ""condition"": ""Locally advanced or metastatic solid tumors (INBRX-106)""}, {""year"": 2023, ""stage"": ""Phase 1"", ""condition"": ""Ewing sarcoma, colorectal adenocarcinoma, mesothelioma, gastric adenocarcinoma, malignant pleural mesothelioma (INBRX-109)""}, {""year"": 2021, ""stage"": ""Phase 2"", ""condition"": ""Unresectable or metastatic conventional chondrosarcoma (INBRX-109)""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""2024-05-30"", ""amount"": ""$1.7 billion"", ""details"": ""Acquired by Sanofi; shareholders received $30 per share plus contingent value rights""}]}"
"Chopra, Rajiv",Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,FUS Instruments,FALSE,null,FALSE,null,FALSE,null,0,8,FALSE,null,"{""venture_funding"": [{""round"": ""Unknown"", ""year"": null, ""amount"": null, ""investors"": ""1 investor (unnamed)""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Epilepsy (using BX Pulsar 1002 device for targeting epileptic focus)""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Glioblastoma (noninvasive MRgFUS BBB opening with temozolomide chemotherapy)""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Alzheimer's disease""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Amyotrophic lateral sclerosis (ALS)""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Epilepsy (low-intensity focused ultrasound neuromodulation and HIFU thermoablation)""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Parkinson's disease""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Essential tremor""}, {""year"": 2020, ""stage"": ""Ongoing"", ""condition"": ""Obsessive-compulsive disorder""}], ""exits"": []}"
"Chopra, Rajiv",Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,Perigon Imaging,TRUE,5000000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2024, ""amount"": ""$5 million"", ""investors"": ""LiveOak Ventures""}], ""clinical_trials"": [{""year"": 2014, ""stage"": ""Pivotal Trial"", ""condition"": ""Aortic valve disease""}], ""exits"": []}"
"Chopra, Rajiv",Development of endorectal MR elastography for prostate cancer detection,Profound Medical Inc.,TRUE,9400000,FALSE,null,FALSE,null,110250000,3,TRUE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2011, ""amount"": ""C$9.4 million"", ""investors"": ""BDC Venture Capital, MaRS Investment Accelerator Fund, Genesys Capital""}, {""round"": ""Post-IPO Equity"", ""year"": 2020, ""amount"": ""$40 million"", ""investors"": ""Public offering""}, {""round"": ""Post-IPO Equity"", ""year"": 2023, ""amount"": ""$30 million"", ""investors"": ""At-the-market offering""}, {""round"": ""Public Offering"", ""year"": 2024, ""amount"": ""$40.25 million"", ""investors"": ""Public investors""}], ""clinical_trials"": [{""year"": 2011, ""stage"": ""Safety/Feasibility"", ""condition"": ""Early stage prostate cancer""}, {""year"": 2016, ""stage"": ""Pivotal (TACT trial)"", ""condition"": ""Prostate cancer""}, {""year"": 2019, ""stage"": ""Pivotal trial completion"", ""condition"": ""Prostate cancer""}], ""exits"": [{""type"": ""IPO via reverse merger"", ""date"": ""2015"", ""amount"": ""Undisclosed valuation, public listing on Toronto Stock Exchange (TSX: PRN) and NASDAQ (PROF)""}, {""type"": ""Acquisition"", ""date"": ""2017"", ""amount"": ""Acquired Sonalleve MR-HIFU business from Royal Philips (amount undisclosed)""}]}"
"Chopra, Rajiv",Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,Solenic Medical,TRUE,5100000,FALSE,null,FALSE,null,3200000,2,FALSE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2023, ""amount"": ""$5.1 million"", ""investors"": ""Johnson & Johnson Innovation \u2013 JJDC, Inc., ShangBay Capital, Highpoint Ventures""}, {""round"": ""Conventional Debt"", ""year"": 2024, ""amount"": ""$3.2 million"", ""investors"": ""Not specified""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""First-in-human feasibility trial"", ""condition"": ""Prosthetic joint infections (PJI) in knee implants""}, {""year"": 2024, ""stage"": ""Planned pivotal trial"", ""condition"": ""Knee implants with prosthetic joint infections""}], ""exits"": []}"
"Chopra, Rajiv",Development of endorectal MR elastography for prostate cancer detection,Texas Prostate Center,FALSE,null,FALSE,null,FALSE,null,0,2,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2024, ""stage"": ""various (Phase I, II, III)"", ""condition"": ""prostate cancer (including metastatic castration-resistant prostate cancer, localized prostate cancer, high-risk prostate cancer, oligometastatic prostate cancer)""}, {""year"": 2022, ""stage"": ""FDA pivotal study"", ""condition"": ""prostate cancer (TULSA procedure)""}], ""exits"": []}"
"Coderre, Terence J",Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,SynergesX Pharma,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Phase 2"", ""condition"": ""Unresectable metastatic Uveal Melanoma""}], ""exits"": []}"
"Cynader, Max S",Novel peptide as potential therapeutic for treatment of ischemic stroke,Primary Peptides Inc.,FALSE,null,FALSE,null,FALSE,null,"[{""round"": ""Not publicly disclosed"", ""year"": null, ""amount"": null, ""investors"": null}]",1,FALSE,null,"{""venture_funding"": [{""round"": ""Not publicly disclosed"", ""year"": null, ""amount"": null, ""investors"": null}], ""clinical_trials"": [{""year"": null, ""stage"": ""Clinical-stage"", ""condition"": ""Neuro disorders, heart attack, stroke, cancer (various peptides in development)""}], ""exits"": []}"
"Dacosta, Ralph S","Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection",MolecuLight Inc.,TRUE,4000000,FALSE,null,TRUE,11700000,35000000,6,TRUE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": 2014, ""amount"": ""$4 million"", ""investors"": ""iGan Partners""}, {""round"": ""Undisclosed Series"", ""year"": 2019, ""amount"": ""$7.5 million USD term loan"", ""investors"": ""Oxford Finance LLC""}, {""round"": ""Undisclosed Venture Series"", ""year"": 2022, ""amount"": ""Undisclosed"", ""investors"": ""BDC Capital, iGan Ventures""}, {""round"": ""Series C"", ""year"": 2024, ""amount"": ""$11.7 million"", ""investors"": ""Export Development Canada (EDC), Prosegur, Azahar""}, {""round"": ""Equity Financing"", ""year"": 2025, ""amount"": ""$27.5 million"", ""investors"": ""Hayfin Capital Management LLP""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Prospective, multicenter, controlled clinical trial"", ""condition"": ""Chronic wounds including diabetic foot ulcers, venous leg ulcers, pressure ulcers""}, {""year"": 2020, ""stage"": ""Pilot randomized controlled trial"", ""condition"": ""Diabetic foot ulcers""}, {""year"": 2020, ""stage"": ""Prospective, single-blind clinical evaluation"", ""condition"": ""Biofilm containing wounds""}, {""year"": 2020, ""stage"": ""Non-randomized evaluation"", ""condition"": ""Wounds of unknown infection diagnostic status""}, {""year"": 2021, ""stage"": ""Clinical evidence presentations and posters"", ""condition"": ""Wound care and bacterial burden detection""}, {""year"": 2023, ""stage"": ""Clinical evidence presentations and posters"", ""condition"": ""Wound care and bacterial burden detection""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""August 2019"", ""amount"": ""Undisclosed"", ""details"": ""MolecuLight's clinical oncology business acquired by photonamic GmbH & Co. KG (Germany)""}]}"
"de Rezende, Joao B",A Non-Traumatic Binder for Temporary Abdominal Wall Closure,InventoRR MD Inc.,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Follow-Up"", ""condition"": ""Open abdomen management and post care hernia rates""}], ""exits"": []}"
"DeWitte-Orr, Stephanie",Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,HELIX FOUNDRY INC.,TRUE,6000000,FALSE,null,FALSE,null,0,1,TRUE,115000000,"{""venture_funding"": [{""round"": ""Seed+"", ""year"": 2023, ""amount"": ""$6 million"", ""investors"": ""TIFIN, Hamilton Lane, FINTOP Capital""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""Ongoing research network enrollment"", ""condition"": ""Various including cardiovascular, metabolic, neurodegenerative, autoimmune diseases""}], ""exits"": [{""type"": ""IPO"", ""date"": ""October 22, 2020"", ""amount"": ""$115 million raised""}, {""type"": ""IPO"", ""date"": ""February 13, 2024"", ""amount"": ""$184 million raised""}]}"
"Diallo, Jean-Simon",,Virica Biotech,,,,,,,,,,,
"Dmitrienko, Gary I",New drugs for antibiotic resistant bacterial infections,Waterloo Pharmaceuticals Inc.,TRUE,300000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Seed"", ""year"": null, ""amount"": ""$300,000"", ""investors"": ""Canadian Institutes of Health Research (CIHR) and the Province of Ontario""}], ""clinical_trials"": [{""year"": null, ""stage"": ""Planned within 1-2 years from article date"", ""condition"": ""Antibiotic resistant bacterial infections""}], ""exits"": []}"
"Doschak, Michael R",Bisphosphonate-conjugated Calcitonin,Osteometabolix,FALSE,null,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [{""year"": 2025, ""stage"": ""wrapping up"", ""condition"": ""osteopenia/postmenopausal women with bone density loss""}], ""exits"": []}"
"Drangova, Maria",Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,Aufero Medical,FALSE,null,FALSE,null,FALSE,null,null,1,FALSE,null,"{""venture_funding"": [{""round"": ""Unknown"", ""year"": null, ""amount"": null, ""investors"": null}], ""clinical_trials"": [{""year"": null, ""stage"": null, ""condition"": ""Atrial fibrillation (heart arrhythmia)""}], ""exits"": []}"
"Fenster, Aaron",MR-Guided Focal Ablation of Prostate Cancer,Focal Healthcare,FALSE,null,FALSE,null,FALSE,null,0,2,FALSE,null,"{""venture_funding"": [{""round"": ""Series Unknown"", ""year"": null, ""amount"": null, ""investors"": ""Sunhope Capital""}], ""clinical_trials"": [{""year"": 2024, ""stage"": ""planned/initiating"", ""condition"": ""prostate cancer (transperineal prostate fusion platform development)""}, {""year"": 2024, ""stage"": ""ongoing"", ""condition"": ""prostate cancer (PREVENT Randomized Trial comparing transperineal and transrectal biopsies)""}], ""exits"": []}"
"Fenster, Aaron",,NeoVision,,,,,,,,,,,
