Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
"Sevigny, Jean",Universite Laval,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200909IRO,Industry Partnered Collaborative Research,Modulation de la pression arterielle par la NTPDase1 et les nucleotides extracellulaires,"$42,500",$0,2 yrs 0 mth ,Circulatory and Respiratory Health,HYPERTENSION; CARDIOLOGY; CARDIOVASCULAR,2010-04-01,2012-03-31,"pressure, NTPDase1, nucleotides",0
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,A Breakthrough Solution to Effectively Prevent Preterm Birth,"$599,500",$0,2 yrs 10 mths ,"Human Development, Child and Youth Health",PREGNANCY/BIRTH; PERINATAL; REPRODUCTION/PREGNANCY; DRUG RESEARCH,2024-06-01,2027-03-31,"Preterm Birth, Prevention",0
"McLean, Linda",University of Ottawa,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Does repetitive transcranial magnetic stimulation (rTMS) reduce pain associated with endometriosis more effectively than a sham rTMS intervention? A randomized controlled trial.,"$600,000",$0,2 yrs 10 mths ,Gender and Health,ILL-DEFINED CONDITIONS; PREGNANCY/BIRTH; HEALTH RESEARCH; REPRODUCTION/PREGNANCY,2024-06-01,2027-03-31,"transcranial magnetic stimulation, endometriosis, pain",0
"Soudeyns, Hugo","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Team Grant: Canadian Initiative for HIV Cure Research,201306HIG,HIV Cure Research,Pediatric HIV infection: exploring determinants of a functional cure.,"$1,775,000",$0,5 yrs 0 mth ,Infection and Immunity,AIDS; PERINATAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,2014-01-01,2018-12-31,"HIV, pediatric, infection",0
"Germain, Lucie",Universite Laval,Operating Grant,200909MOP,Biomedical Engineering,Cornee reconstruite in vitro par genie tissulaire pour des applications experimentales et cliniques,"$860,972",$0,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","DISEASES AFFECTING SPEECH/VISION/HEARING; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",2010-04-01,2015-03-31,"cornee, genie tissulaire, in vitro",0
"Berthod, Franeois",Universite Laval,Operating Grant,201003MOP,Biomedical Engineering,Peau reconstruite par genie tissulaire: etude de l'influence de l'innervation cutanee sur la guerison des plaies,"$447,139",$0,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; CELL BIOLOGY; BIOCHEMISTRY",2010-10-01,2013-09-30,"tissue engineering, skin innervation, wound healing",0
"Wang, Li",McMaster University,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Development of a novel risk prediction model for chronic postsurgical pain after breast cancer surgery,"$600,000",$0,2 yrs 10 mths ,Cancer Research,BREAST CANCER; POPULATION HEALTH; CANCER,2024-06-01,2027-03-31,"risk prediction, chronic postsurgical pain, breast cancer",0
"Yeates, Karen","Queen's University (Kingston, Ontario)",Op. Grant: NWHRI: Innovation Fund - Healthcare implementation research,202403NW2,National Women's Health Research Initiative: Innovation Fund,"Listening to our Women: Understanding barriers, enablers, and strategies to cervical cancer screening uptake using HPV DNA self-sampling through participatory, community-based approaches among Indigenous women living remotely in Ontario","$600,000",$0,2 yrs 10 mths ,Indigenous Peoples' Health,POPULATION HEALTH; CANCER,2024-06-01,2027-03-31,"HPV DNA, self-sampling, cervical cancer",0
"Bolduc, Stephane",Universite Laval,Operating Grant,200809MOP,Biomedical Engineering,La methode d'auto-assemblage pour l'elaboration de tissus urologiques autologues reconstruits par genie tissulaire.,"$388,428",$0,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"GENITO/URINARY SYSTEM; INJURY, REGENERATION; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2009-04-01,2012-03-31,"auto-assemblage, tissus, génie tissulaire",0
"Pilote, Louise",Research Institute of the McGill University Health Centre,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Social Prescribing to Improve Adherence and Outcomes in Women with Heart Failure,"$600,000",$0,2 yrs 10 mths ,Gender and Health,"STROKE, HEART FAILURE; EPIDEMIOLOGY; CARDIOVASCULAR; SOCIETAL & CULTURAL DIMENSIONS OF HEALTH",2024-06-01,2027-03-31,"Social prescribing, heart failure, adherence",0
"Archambault, Denis",Universite du Quebec e Montreal,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,La portion C-terminale de la proteine P97 de Mycoplasma hyopneumoniae: une nouvelle molecule adjuvante e des fins vaccinales,"$364,959",$0,3 yrs 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH; IMMUNOLOGY-TRANSPLANTATION,2014-04-01,2017-03-31,"P97, Mycoplasma hyopneumoniae, adjuvant",0
"Bier, Nathalie",Universite de Montreal,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Maintien e domicile des personnes egees vulnerables : co-conception et deploiement de solutions technologiques dans le cadre d'un laboratoire vivant,"$489,287",$0,3 yrs 0 mth ,Aging,AGING; MULTIDISCIPLINARY; HEALTH RESEARCH,2017-04-01,2020-03-31,"domicile, personnes egees, solutions technologiques",0
"Lewis, Ian A",University of Calgary,Operating Grant: AMR: Point of Care Diagnostics in Human Health Phase 2,201810APC,AMR: Point of Care Diagnostics in Human Health - Phase 2,Reducing the burden of antimicrobial resistance via rapid diagnosis of urinary tract infections,"$675,000",$0,3 yrs 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; HEALTH CARE DELIVERY; HEALTH RESEARCH; BIOCHEMISTRY,2019-01-01,2021-12-31,"antimicrobial resistance, rapid diagnosis, urinary tract infections",3
"MacPherson, Rebecca E",Brock University (Ontario),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Targeting BDNF signaling for postmenopausal brain health,"$130,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; HEALTH RESEARCH; AGING,2024-02-01,2025-01-31,"BDNF, signaling, brain health",0
"Fortin, Sebastien",Universite Laval,Project Grant,202104PJT,Cancer Progression & Therapeutics,"L'AIMZ-938, un nouveau promedicament anticancereux pour le traitement des cancers du sein humain refractaires aux traitements actuels et exprimant le cytochrome P450 1A1","$891,226",$0,5 yrs 0 mth ,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Cancer-Cancer Drug Development and Therapeutics",2021-10-01,2026-09-30,"anticancer, breast cancer, cytochrome P450",0
"Bujold, Emmanuel",Universite Laval,Op. Grant: NWHRI: Innovation Fund - Healthcare implementation research,202403NW2,National Women's Health Research Initiative: Innovation Fund,L'inversion de la pyramide des soins antenataux pour ameliorer l'acces aux soins et la sante des meres et des enfants vivant en region eloignee (PROJET PYRAMIDE),"$599,003",$0,2 yrs 10 mths ,"Human Development, Child and Youth Health",PREGNANCY/BIRTH; DETERMINANTS OF HEALTH; REPRODUCTION/PREGNANCY; HEALTH SERVICES RESEARCH,2024-06-01,2027-03-31,"pyramide, soins, sante",0
"Prodger, Jessica L",Western University (Ontario),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Identifying causes of neovaginal malodour in transfeminine people,"$149,115",$0,1 yr 0 mth ,,,2023-05-01,2024-04-30,"neovaginal, malodour, transfeminine",0
"Duchesne, Simon",Universite Laval,Operating Grant: Methodological Innovations for Neuroimaging Datasets,201304OMI,Methodological Innovations for Neuroimaging Datasets,AD ontological architecture for neuroimaging datawarehouse: merging and establishing anatomical normative data from 17 datasets,"$212,868","$10,000",3 yrs 0 mth ,Aging,ALZHEIMER'S DISEASE; MULTIDISCIPLINARY; AGING; IMAGING,2013-10-01,2016-09-30,"ontology, neuroimaging, datawarehouse",0
"Dumoulin, Chantal","CIUSSS du Centre-Sud-de-l'ele-de-Montreal (Montreal, Quebec)",Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,"Acceptability, user experience and effect of a new mobile app, 'OUPS!', a FemTech solution designed for the treatment of urinary incontinence in menopausal women: a mixed method study","$149,489",$0,1 yr 0 mth ,Gender and Health,"MUSCULO SKELETAL; RENAL FUNCTION, NEPHROLOGY, UROLOGY; MUSCLE, BONE, OR JOINT",2024-02-01,2025-01-31,"mobile app, urinary incontinence, FemTech",0
"Berthod, Franeois",Universite Laval,Project Grant,202010PJT,Biomedical Engineering,Reparation des lesions des nerfs peripheriques par genie tissulaire,"$1,143,675",$0,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Regenerative Medicine and Tissue Engineering,2021-04-01,2026-03-31,"nerfs, tissulaire, lesions",0
"McGillion, Michael H",McMaster University,Oper Grant:eHealth Innov Partnership Program(eHIPP)-Seniors w Complex Care Needs,201506EH2,eHealth Innovation Partnership Program (eHIPP): Support of Seniors,"THE SMArT VIEW, CoVeRed: TecHnology Enabled monitoring  and Self-MAnagemenT- VIsion for patient EmpoWerment following  Cardiac and VasculaR surgery","$749,876",$0,4 yrs 0 mth ,Circulatory and Respiratory Health,CARDIOLOGY; HEALTH CARE DELIVERY; CARDIOVASCULAR; HEALTH SERVICES RESEARCH,2015-10-01,2019-09-30,"monitoring, vision, patient empowerment",0
"Krause, Juergen",University of Prince Edward Island (Charlottetown),Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Computer Based Training for Cognitive Behavioral Therapy (CBT4CBT) for Improved  Addiction Treatment in Canadian Youth,"$618,797",$0,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MENTAL AND BEHAVIOURAL DISEASES; PSYCHO-SOCIAL AND BEHAVIOURAL RESEARCH; MENTAL HEALTH; HEALTH RESEARCH,2015-10-01,2019-09-30,"Computer, Behavioral Therapy, Addiction",0
"Berthod, Franeois",Universite Laval,Operating Grant - PA: INMHA (bridge funding),201503INO,Biomedical Engineering,Strategies de reparation des transsections des nerfs peripheriques par genie tissulaire,"$100,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction","INJURY, REGENERATION; NONE OF THE ABOVE; CELL BIOLOGY; NERVOUS SYSTEM",2016-07-01,2021-06-30,"nerfs, tissulaire, reparation",0
"Bernard, Daniel J",McGill University,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Targeting inhibin B action to regulate follicle-stimulating hormone production and female fertility,"$117,400",$0,1 yr 0 mth ,"Human Development, Child and Youth Health",ENDOCRINOLOGY; PITUITARY; REPRODUCTION/PREGNANCY,2024-02-01,2025-01-31,"inhibin B, follicle-stimulating hormone, female fertility",0
"El Morr, Christo","York University (Toronto, Ontario)",Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Students Mental Health: Virtual Support on Campus,"$410,732",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",HEALTH PROMOTION; MENTAL AND BEHAVIOURAL DISEASES; MENTAL HEALTH; HEALTH RESEARCH,2015-10-01,2018-09-30,"Mental Health, Virtual Support, Campus",0
"Bherer, Louis","CIUSSS du Centre-Sud-de-l'ele-de-Montreal (Montreal, Quebec)",Operating Grant : Adv Theoretical Meth Innov Hlth Res-Longitudinal Studies Aging,201110TO1,Operating Grant: Innovations in Health Research,Combining functional near infra-red spectroscopy and dual-task walking to track preclinical motor and cognitive declines and their evolution in aging individuals.,"$140,000","$60,000",2 yrs 0 mth ,Aging,AGING; MULTIDISCIPLINARY; HEALTH RESEARCH,2012-02-01,2014-01-31,"near-infrared spectroscopy, dual-task walking, aging",0
"Pyle, Glen W",University of Guelph,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Getting to the Heart of Domestic Abuse: Identifying the molecular mechanisms of heart disease in association with physical and psychological stress,"$150,000",$0,1 yr 0 mth ,Gender and Health,CARDIOLOGY; MYOCARDIAL INFARCTION; CARDIOVASCULAR; CELL BIOLOGY,2024-02-01,2025-01-31,"heart disease, molecular mechanisms, stress",0
"Chenoweth, Meghan J",Centre for Addiction and Mental Health (Toronto),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Uncovering the biological liability to migraine and anxiety in women,"$149,500",$0,1 yr 0 mth ,Genetics,MENTAL AND BEHAVIOURAL DISEASES; GENETICS; MENTAL HEALTH,2024-02-01,2025-01-31,"biological, migraine, anxiety",0
"Rancourt, Derrick E",University of Calgary,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Derivation and Culture of Naeve Pluripotent Stem Cells in Stirred Suspension Bioreactors,"$351,690",$0,3 yrs 0 mth ,Genetics,MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; CELL BIOLOGY; MOLECULAR BIOLOGY,2016-04-01,2019-03-31,"Naive, pluripotent, bioreactors",0
"Maltais, Franeois",Universite Laval,Oper Grant:eHealth Innov Partnership Program(eHIPP)-Seniors w Complex Care Needs,201506EH2,eHealth Innovation Partnership Program (eHIPP): Support of Seniors,Projet FreeDom (FreeO2 e domicile). Mise au point et evaluation d'une strategie innovante de prise en charge pour reduire la duree d'hospitalisation au cours des exacerbations de MPOC: retour precoce e domicile en combinant le sevrage et l'ajustement automatise de l'oxygene (FreeO2) et la telemedecine. Benefices pour les patients et pour le systeme de sante.,"$384,683",$0,4 yrs 0 mth ,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; HEALTH SERVICES RESEARCH; RESPIRATION,2015-10-01,2019-09-30,"oxygen, telemedicine, COPD",0
"Paquette, Jean-Sebastien",Universite Laval,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,"Klotho, a new biomarker to improve breast cancer screening programs by reducing false-positive results.","$300,000",$0,2 yrs 0 mth ,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; HEALTH RESEARCH,2024-06-01,2026-05-31,"Klotho, biomarker, breast cancer",0
"Fisette, Alexandre",Universite du Quebec e Trois-Rivieres,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Characterization of a novel molecular strategy to alleviate post-menopausal metabolic & mood disorders,"$150,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",OBESITY; ENDOCRINOLOGY; METABOLISM/DIABETES,2024-02-01,2025-01-31,"molecular strategy, post-menopausal, metabolic",0
"Reinhold, Caroline",Research Institute of the McGill University Health Centre,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Magnetic Resonance Imaging (MRI) and Artificial Intelligence (AI) can improve preoperative malignancy risk prediction of ovarian masses.,"$150,000",$0,1 yr 0 mth ,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; IMAGING; CANCER,2024-02-01,2025-01-31,"Magnetic Resonance Imaging, Artificial Intelligence, Ovarian masses",0
"van Donkelaar, Paul",University of British Columbia,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Development and validation of a clinical assessment tool to improve detection of brain injury in intimate partner violence,"$495,144",$0,2 yrs 10 mths ,Gender and Health,"ACCIDENTS, POISONING - VIOLENCE; NERVOUS SYSTEM",2024-06-01,2027-03-31,"brain injury, assessment tool, violence",0
"Tayade, Chandrakant","Queen's University (Kingston, Ontario)",Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Unique extracellular vesicle signatures in the pathophysiology of endometriosis,"$150,000",$0,1 yr 0 mth ,"Human Development, Child and Youth Health","INFERTILITY FEMALE; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2024-02-01,2025-01-31,"extracellular vesicle, endometriosis, signatures",0
"Leung, Shuk On A",Research Institute of the McGill University Health Centre,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Short-term patient-derived ovarian cancer organoids for frontline drug sensitivity testing,"$150,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2024-02-01,2025-01-31,"ovarian cancer, organoids, drug sensitivity",0
"Brennand, Erin A",University of Calgary,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Characterizing the impact of hysterectomy on female physiology: A proof-of-concept cohort study in pelvic organ prolapse patients,"$150,000",$0,1 yr 0 mth ,Gender and Health,GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY; HEALTH RESEARCH,2024-02-01,2025-01-31,"hysterectomy, physiology, pelvic organ prolapse",0
"Evans, Alan C",McGill University,Operating Grant: Methodological Innovations for Neuroimaging Datasets,201304OMI,Methodological Innovations for Neuroimaging Datasets,CBRAIN: A national platform for neurodegenerative disease imaging data,"$225,000",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","ALZHEIMER'S DISEASE; AGING; IMAGING; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2013-10-01,2016-09-30,"neurodegenerative, imaging, data",0
"Van Houten, Elijah E",Universite de Sherbrooke,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Automating data acquisition and data processing pipeline via artificial intelligence and machine learning approaches to allow at-home use of a novel breast cancer screening method employing bra-based elastography imaging.,"$150,000",$0,1 yr 0 mth ,Cancer Research,BREAST CANCER; MULTIDISCIPLINARY; IMAGING; CANCER,2024-02-01,2025-01-31,"data acquisition, elastography imaging, breast cancer",0
"Wilansky, Pamela",Centre for Addiction and Mental Health (Toronto),Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Cognitive Behavior Therapy for Anxious and Depressed Youth: Improving Outcomes through Mobile Technology,"$728,345",$0,4 yrs 0 mth ,"Human Development, Child and Youth Health",MENTAL AND BEHAVIOURAL DISEASES; HEALTH CARE DELIVERY; MENTAL HEALTH; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.,2015-10-01,2019-09-30,"Cognitive Behavior Therapy, Mobile Technology, Youth",0
"Sloboda, Deborah M",McMaster University,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Pregnancy's Microbial Marvels: Unraveling the Intestinal Secrets of Maternal Metabolic Regulation,"$100,000",$0,1 yr 0 mth ,Gender and Health,PREGNANCY/BIRTH; DIABETES MELLITUS; REPRODUCTION/PREGNANCY; METABOLISM/DIABETES,2024-02-01,2025-01-31,"microbial, intestinal, metabolic",0
"Mes-Masson, Anne-Marie",Centre hospitalier de l'Universite de Montreal (CHUM),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Unveiling the Role of Cellular Aging in Postmenopausal Syndrome: Rationale for Senolytic-Based Strategies to Enhance Women's Health,"$108,000",$0,1 yr 0 mth ,Gender and Health,AGING; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH,2024-02-01,2025-01-31,"cellular aging, senolytic, women's health",0
"Ahmed, Sofia B",University of Alberta,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Hormonal route of administration and cardiorenal health,"$420,000",$0,2 yrs 10 mths ,Gender and Health,"HYPERTENSION; CARDIOVASCULAR; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2024-06-01,2027-03-31,"hormonal, administration, cardiorenal",0
"Barha, Cindy",University of Calgary,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Exploring biomarkers of physical activity promotion of cognition in menopause: Role of race/ethnicity,"$150,000",$0,1 yr 0 mth ,Aging,AGING; ALZHEIMER'S DISEASE; ENDOCRINOLOGY,2024-02-01,2025-01-31,"biomarkers, physical activity, cognition",0
"Sarret, Philippe",Universite de Sherbrooke,Operating Grant,201003MOP,Cancer Progression & Therapeutics,Developpement de nouvelles strategies therapeutiques pour enrayer la dissemination metastatique et les douleurs chroniques consecutives au cancer du sein,"$445,569",$0,3 yrs 0 mth ,Cancer Research,BONE CANCER; BREAST CANCER; CANCER; HEALTH RESEARCH,2010-10-01,2013-09-30,"metastatic, cancer, pain",1
"Shen, Garry X",University of Manitoba,Op. Grant: NWHRI: Innovation Fund - Healthcare implementation research,202403NW2,National Women's Health Research Initiative: Innovation Fund,"Protecting and supporting breastfeeding and lactation equity in Manitoba through community-integrated education and care using novel technologies, culturally safe and gender affirming approaches","$600,000",$0,2 yrs 10 mths ,Gender and Health,PREGNANCY/BIRTH; METABOLISM AND NUTRITION; HEALTH SERVICES RESEARCH; POPULATION HEALTH,2024-06-01,2027-03-31,"breastfeeding, lactation, community",0
"Cohen, Alan A",Universite de Sherbrooke,Operating Grant : Adv Theoretical Meth Innov Hlth Res-Longitudinal Studies Aging,201110TO1,Operating Grant: Innovations in Health Research,Novel approaches to aging physiology: Using statistics and data mining to understand dysregulation of biomarker networks in human populations,"$193,482",$0,3 yrs 0 mth ,Aging,AGING; BIOSTATISTICS; POPULATION HEALTH,2012-02-01,2015-01-31,"aging, data mining, biomarkers",0
