Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords,companies,companies_count
"Ahmed, Shahid",University of Saskatchewan,Saskatchewan,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Conversion From Unresectable To Resectable Liver Metastases In Patients With Liver-Only Metastatic Colorectal Cancer Treated With FOLFOXIRI Plus Bevacizumab. The Conversion Trial.," $100,000 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,4/1/2019,2022-03-31,0,"liver metastases, colorectal cancer, FOLFOXIRI",,
"Ahmed, Sofia B",University of Alberta,Alberta,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Hormonal route of administration and cardiorenal health," $420,000 ", $-   , $-   ,,2 yrs 10 mths ,Gender and Health,"HYPERTENSION; CARDIOVASCULAR; RENAL FUNCTION, NEPHROLOGY, UROLOGY",6/1/2024,2027-03-31,0,"hormonal, administration, cardiorenal",,
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Cancer Progression & Therapeutics 2,Tumour-Initiating Cells in Oral Cancer Patients: Predictors of Outcome and Identification of Candidate Therapeutic Targets," $523,091 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; CANCER; HEALTH RESEARCH,4/1/2013,2017-03-31,0,"Tumour-Initiating Cells, Oral Cancer, Therapeutic Targets",,
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Project Grant,202210PJT,Cancer Progression & Therapeutics,Targeting PRMT1 in Clear Cell Renal Cell Carcinoma," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Molecular Biology",4/1/2023,2024-03-31,0,"PRMT1, Renal Cell Carcinoma, Targeting",,
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Cancer Progression & Therapeutics 2,Targeting PRMT1 in Clear Cell Renal Cell Carcinoma," $776,475 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Molecular, Cellular and Systems Biology-Molecular Biology",4/1/2023,2024-03-31,0,"PRMT1, Renal Cell Carcinoma, Targeting",,
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Project Grant,201909PJT,Cancer Progression & Therapeutics,Prognostic Biomarkers and Novel Therapies for Oral Squamous Cell Carcinoma Patients," $1,051,875 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Genetics-Genomics, Transcriptomics and Proteomics; Cancer-Cancer Drug Development and Therapeutics",4/1/2020,2025-03-31,0,"Biomarkers, Oral Squamous Cell Carcinoma, Prognostic",,
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Biology & Therapeutics,Viralyzing transgenes to improve oncolytic immunotherapy," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",3/1/2023,2024-02-29,0,"Viralyzing, transgenes, immunotherapy",,
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr�al-Jewish General,Quebec,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Cancer Progression & Therapeutics,Molecular and Translational Studies of Filamin Signaling Network in Invasive Cancer," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,3/1/2010,2011-02-28,0,"Filamin, Signaling, Cancer",,
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr�al-Jewish General,Quebec,Operating Grant - Priority Announcement: Breast Cancer,201003COP,Cancer Progression & Therapeutics 2,Investigation of the Filamin Signaling Network's Function in Cancer Progression," $740,235 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,10/1/2010,2015-09-30,0,"Filamin, Signaling, Cancer",,
"Algar, Walter R",University of British Columbia,British Columbia,Project Grant,202010PJT,Biomedical Engineering,Materials and Technologies for Highly Sensitive Biomarker Analysis of Extracellular Vesicles Toward Cancer Diagnostics," $367,200 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Methods Development and Modelling-Quantitative Methods Development for Health Research",4/1/2021,2024-03-31,0,"Biomarker, Extracellular Vesicles, Cancer",,
"Alhazzani, Waleed",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Awake Prone Position in Hypoxemic Patients with Coronavirus Disease 19," $1,089,205 ", $-   , $-   ,,0 yr 6 mths ,Circulatory and Respiratory Health,RESPIRATION; VIRAL; VIROLOGY,6/1/2020,2021-05-31,0,"Prone Position, Hypoxemic, Coronavirus",,
"Allan, Alison L",Western University (Ontario),Ontario,Project Grant,202010PJT,Cancer Progression & Therapeutics 2,Influence of breast cancer-derived extracellular vesicles (BCEVs) on lung metastasis of triple negative breast cancer," $872,100 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Molecular, Cellular and Systems Biology-Cell Biology and Physiology; Molecular, Cellular and Systems Biology-Biochemistry",4/1/2021,2026-03-31,0,"extracellular vesicles, breast cancer, metastasis",,
"Allen, Christine J",University of Toronto,Ontario,Project Grant,201709PJT,Medical Physics & Imaging 2,Heat Activated Liposomal Delivery of Chemo and Molecular Therapy in Combination with Radiotherapy for Treatment of Breast Cancer Recurrence at the Chest Wall," $459,000 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Biomedical Engineering-Biomedical Imaging",4/1/2018,2022-03-31,0,"Liposomal, Chemotherapy, Radiotherapy",,
"Allen, Christine J",University of Toronto,Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer," $492,845 ", $-   ," $100,000 ",Avon Foundation for Women - Canada,4 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2014,2018-06-30,0,"Polymeric, Nanotechnology, HER2",,
"Allen, Christine J",University of Toronto,Ontario,Operating Grant - Priority Announcement: Breast Cancer,201309COP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer, $-   , $-   ," $100,000 ",Avon Foundation for Women - Canada,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2014,2018-06-30,0,"Polymeric, Nanotechnology, HER2",,
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201203MOP,Cancer Progression & Therapeutics,Characterizing the Sarcoma Tumor Initiating Cell: Implications for the Development of Novel Treatments for Undifferentiated Pleomorphic Sarcoma," $732,722 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"BONE CANCER; BONE CANCER THERAPY; CANCER; MUSCLE, BONE, OR JOINT",10/1/2012,2017-09-30,0,"Sarcoma, Tumor, Cell",,
"Amed, Shazhan",University of British Columbia,British Columbia,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,The Live 5-2-1-0 eHealth App - Supporting health professionals and educators to raise a healthier generation of kids," $199,870 ", $-   , $-   ,,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",POPULATION HEALTH; HEALTH RESEARCH,9/1/2017,2019-08-31,0,"eHealth, app, health",,
"Amon, Cristina",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Advanced Bioreactors for Evaluation and Systematic Optimization of Decellularization and Recellularization of the Lung and Trachea," $291,825 "," $52,100 ", $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,MULTIPLE DISEASE RELEVANCE; CHRONIC OBSTRUCTIVE LUNG DISEASE; HEALTH RESEARCH; RESPIRATION,4/1/2018,2021-03-31,0,"Bioreactors, Decellularization, Recellularization",,
"Amsden, Brian G","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,201403MOP,Biomedical Engineering,Biomimetic Scaffold for Ligament Tissue Engineering," $409,478 ", $-   , $-   ,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL",7/1/2014,2018-06-30,0,"Biomimetic, Scaffold, Ligament",,
"Amsden, Brian G","Queen's University (Kingston, Ontario)",Ontario,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201109IMH,Biomedical Engineering,Biomimetic Scaffold for Ligament Tissue Engineering," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL",3/1/2012,2013-02-28,0,"Biomimetic, Scaffold, Ligament",,
"Amsden, Brian G","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Articular Cartilage Reconstruction," $168,002 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS,4/1/2014,2017-03-31,0,"Articular, Cartilage, Reconstruction",,
"Ancuta, Petronela",Centre hospitalier de l'Universit� de Montr�al (CHUM),Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Establishment of Long-Lived HIV-1 Reservoirs in Naive Th17 Precursors: Implications for the Cure," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; AIDS; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,3/1/2013,2014-02-28,0,"HIV-1, Reservoirs, Th17",,
"Andrulis, Irene L",Sinai Health System (Toronto),Ontario,Operating Grant,200809MOP,Cancer Progression & Therapeutics,Discovery and characterization of clinically important changes in axillary node-negative breast cancer.," $866,726 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; CANCER; GENETICS,4/1/2009,2014-03-31,0,"axillary node, breast cancer, characterization",,
"Andrysek, Jan",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Biomechanical biofeedback targeting the high-level rehabilitation of mobility in youth with lower limb amputations," $374,050 ", $-   , $-   ,,3 yrs 0 mth ,"Human Development, Child and Youth Health","MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",4/1/2019,2022-03-31,0,"biomechanical, biofeedback, rehabilitation",,
"Andrysek, Jan",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202309PJT,Biomedical Engineering,Feasibility RCT evaluating digitally and traditionally produced ankle foot orthoses for individuals with impaired lower limb function," $470,475 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,Musculoskeletal Health-Rehabilitation and Physical Therapy; Health Services and Systems-Management of Chronic Diseases and Conditions,4/1/2024,2027-03-31,0,"ankle foot orthoses, lower limb, digital fabrication",,
"Angers, Stephane",University of Toronto,Ontario,Project Grant,201909PJT,Cancer Biology & Therapeutics 2,Targeting Glioblastoma Heterogeneity through identification of subtype-specific genetic vulnerabilities," $818,550 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis,4/1/2020,2025-03-31,0,"Glioblastoma, genetic vulnerabilities, heterogeneity",,
"Anglesio, Michael S",University of British Columbia,British Columbia,Project Grant,202209PJT,Cancer Progression & Therapeutics,Deconvoluting Prognostic and Targetable Features of Endometrioid Ovarian Carcinomas of No Specific Molecular Profile," $646,424 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Mechanisms of Carcinogenesis; Reproduction and Development-Reproductive Sciences,4/1/2023,2026-03-31,0,"Deconvoluting, Prognostic, Ovarian Carcinomas",,
"Anglin, Carolyn",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Development and Clinical Efficacies of an Innovative Quantitative Intraoperative C-arm System," $234,775 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; IMAGING; MUSCLE, BONE, OR JOINT",4/1/2014,2017-03-31,0,"C-arm, Intraoperative, Quantitative",,
"Antel, Jack P",McGill University,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Effects of S1P receptor directed pharmaceutical agents on central nervous system myelination," $178,125 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; NERVOUS SYSTEM; IMMUNOLOGY-TRANSPLANTATION,4/1/2011,2014-03-31,0,"S1P receptor, myelination, pharmaceutical agents",,
"Antoniou, John",CIUSSS de Centre-Ouest-de-l'Ile-de-Montr�al-Jewish General,Quebec,Project Grant,202109PJT,Biomedical Engineering,Role of Link N in Osteoarthritis," $699,975 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,4/1/2022,2027-03-31,0,"Link N, Osteoarthritis",,
"Aoudjit, Fawzi",Universit� Laval,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Elucidating the role of alpha2beta1 integrin in the chemoresistance of acute lymphoblastic leukemia.," $567,520 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER,7/1/2014,2019-06-30,0,"alpha2beta1 integrin, chemoresistance, leukemia",,
"Aoudjit, Fawzi",Universit� Laval,Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202209PDI,Cancer Biology & Therapeutics,Understanding the role of beta1 integrins in chemoresistance of acute lymphoblastic leukemia and therapeutic implications," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis; Cancer-Pediatric Cancer,3/1/2023,2024-02-29,0,"beta1 integrins, chemoresistance, leukemia",,
"Aparicio, Samuel J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,PP2a protein serine/threonine phosphatase mutations in cancer: functional consequences and clinical relevance," $588,895 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,BREAST CANCER; GENITO/URINARY SYSTEM,4/1/2012,2016-03-31,0,"PP2a, phosphatase, cancer",,
"Aparicio, Samuel J",University of British Columbia,British Columbia,Project Grant,202303PJT,Cancer Progression & Therapeutics,Mechanisms and targeting of repair deficient cancers with G-quadruplex small molecule ligands," $1,048,050 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,10/1/2023,2028-09-30,0,"G-quadruplex, small molecule, cancers",,
"Arcand, JoAnne",Ontario Tech University,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Improving heart failure outcomes through apps that support self-management and adherence," $146,368 ", $-   , $-   ,,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","STROKE, HEART FAILURE; HEALTH PROMOTION; CARDIOVASCULAR; NUTRITION",9/1/2017,2019-08-31,0,"heart failure, self-management, adherence",,
"Archambault, Denis",Universite du Quebec e Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,La portion C-terminale de la proteine P97 de Mycoplasma hyopneumoniae: une nouvelle molecule adjuvante e des fins vaccinales," $364,959 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH; IMMUNOLOGY-TRANSPLANTATION,4/1/2014,2017-03-31,0,"P97, Mycoplasma hyopneumoniae, adjuvant",,
"Armstrong, Glen D",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201003ISO,Industry Partnered Collaborative Research,Potential of pathogen-specific egg yolk antibodies (IgY) for treating Clostridium difficile infections.," $162,672 ", $-   , $-   ,,3 yrs 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; GASTRO-INTESTINAL DISEASE; BACTERIOLOGY; DRUG RESEARCH,10/1/2010,2013-09-30,0,"IgY, Clostridium difficile, antibodies",,
"Arnold, Donald M",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200909IRO,Industry Partnered Collaborative Research,Revisiting the Pathophysiology of Immune Thrombocytopenic Purpura in the Era of Thrombopoietin Mimetics," $152,932 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD,4/1/2010,2013-03-31,0,"Immune Thrombocytopenic Purpura, Thrombopoietin Mimetics",,
"Arnold, Donald M",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,A Randomized Open-Label Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness (CONCOR-1)," $2,972,273 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,BLOOD; VIRAL; IMMUNOLOGY-TRANSPLANTATION,6/1/2020,2021-05-31,0,"Convalescent Plasma, COVID-19, Respiratory Illness",,
"Arnold, Douglas L",McGill University,Quebec,Operating Grant,201303MOP,Medical Physics & Imaging,Magnetic Resonance Imaging of Multiple Sclerosis," $698,337 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; IMAGING; NERVOUS SYSTEM,10/1/2013,2018-09-30,0,"Magnetic Resonance, Imaging, Multiple Sclerosis",,
"Arrowsmith, Cheryl H",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,Toward epigenetic therapy for colon cancer," $1,016,046 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",4/1/2013,2018-03-31,0,"epigenetic, colon cancer",,
"Ashkar, Ali A",McMaster University,Ontario,Project Grant,201803PJT,Cancer Biology & Therapeutics,Utilizing chimeric antigen receptors to direct autologous NK cell cytotoxicity to breast cancer," $937,740 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",10/1/2018,2023-09-30,0,"chimeric antigen receptors, NK cell, breast cancer",,
"Awadalla, Philip","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Cancer Biology & Therapeutics 2,Preparing for the Recovery from the Effects of the PAndemic on cancer control using Real-world Evidence in Canada (PREPARE-Canada)," $1,147,500 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis; Population and Health-Health Promotion and Disease Prevention,10/1/2022,2027-09-30,0,"cancer, real-world evidence, pandemic",,
"Azad, Taha",Universit� de Sherbrooke,Quebec,Project Grant,202303PJT,Cancer Biology & Therapeutics,Bioengineering viruses to create safer and more effective oncolytic viruses," $986,850 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2023,2028-09-30,0,"bioengineering, viruses, oncolytic",,
"Babu, Mohan",University of Regina (Saskatchewan),Saskatchewan,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Development of SARS-CoV-2 Peptide Therapeutics and Point-of-Care Salivary Diagnostics for Rapid Viral Detection," $937,950 ", $-   , $-   ,,1 yr 0 mth ,Genetics,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,6/1/2020,2021-05-31,0,"SARS-CoV-2, Peptide, Diagnostics",,
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant,201209MOP,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors.," $522,880 ", $-   ," $100,000 ",Alberta Cancer Foundation,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; BLOOD,4/1/2013,2017-03-31,0,"Bortezomib, BRCAness, PARP1-2",,
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors., $-   , $-   ," $100,000 ",Alberta Cancer Foundation,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; BLOOD,4/1/2013,2014-03-31,0,"Bortezomib, BRCAness, PARP1-2",,
"Bailey, Swneke D",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Cancer Progression & Therapeutics,Investigating the Molecular Determinants of Peritoneal Metastasis from Gastro-Esophageal Adenocarcinomas," $753,525 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2020,2025-03-31,0,"Peritoneal metastasis, Molecular determinants, Gastro-Esophageal adenocarcinomas",,
"Bainbridge, Shannon A",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Automated placenta screening to improve maternal lifetime cardiovascular health," $238,045 "," $6,000 ", $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,MULTIDISCIPLINARY; PREGNANCY/BIRTH; CARDIOVASCULAR; REPRODUCTION/PREGNANCY,4/1/2020,2023-03-31,0,"placenta, screening, cardiovascular",,
