Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.","$336,600",$0,2 yrs 0 mth 
"Gong, Siew-Ging",University of Toronto,Project Grant,202203PJT,Commercialization,Streptococcus salivarius Probiotics Against Dental Caries Pathogens,"$535,501",$0,4 yrs 0 mth 
"Gross, Peter L",McMaster University,Project Grant,202203PJT,Commercialization,Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,"$279,225",$0,2 yrs 0 mth 
"Leavitt, Blair R",University of British Columbia,Project Grant,202203PJT,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,"$761,176",$0,5 yrs 0 mth 
"Yokota, Toshifumi",University of Alberta,Project Grant,202203PJT,Commercialization,Commercializing a novel platform for delivery of antisense oligonucleotide-mediated therapy,"$1,009,800",$0,5 yrs 0 mth 
"Beg, Mirza Faisal; Popuri, Karteek","Simon Fraser University (Burnaby, B.C.)",Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,"$100,000",$0,1 yr 0 mth 
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,"$1,503,225",$0,5 yrs 0 mth 
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,202209PJT,Commercialization,Empowering innovative hematopoietic stem cells (HSC)-based cancer immunotherapy through the creation of synthetic specific promoters,"$765,000",$0,4 yrs 0 mth 
"Kizhakkedathu, Jayachandran N",University of British Columbia,Project Grant,202209PJT,Commercialization,Localized immuno-cloaking organ engineering approach to prevent transplant rejection without immunosuppressants,"$803,250",$0,3 yrs 0 mth 
"Kremer, Richard B; Mihalcioiu, Catalin",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,Commercialization,Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,"$665,550",$0,3 yrs 0 mth 
"Lubell, William D",Université de Montréal,Project Grant,202209PJT,Commercialization,"Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation","$833,851",$0,3 yrs 0 mth 
"Mueller, Christopher R","Queen's University (Kingston, Ontario)",Project Grant,202209PJT,Commercialization,Using a Liquid Biopsy to Optimize Metastatic Breast Cancer Treatment,"$891,226",$0,3 yrs 0 mth 
"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,"$100,000",$0,1 yr 0 mth 
"Uludag, Hasan",University of Alberta,Project Grant,202210PJT,Commercialization,New Treatment of Blood Cancers with Improved Delivery of Nucleic Acids,"$100,000",$0,1 yr 0 mth 
"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",Project Grant,202210PJT,Commercialization,Commercialization of RNA Mango fluorogenic aptamers: RNA Pulldown and Imaging Tools for Therapeutic and Diagnostic pipelines,"$100,000",$0,1 yr 0 mth 
"Akbari, Mohsen",University of Victoria (British Columbia),Project Grant,202303PJT,Commercialization,Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,"$332,776",$0,2 yrs 0 mth 
"Beg, Mirza Faisal; Popuri, Karteek","Simon Fraser University (Burnaby, B.C.)",Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,"$956,250",$0,3 yrs 0 mth 
"Lubell, William D",Université de Montréal,Project Grant,202303PJT,Commercialization,Interleukin-1 Receptor Modulating Therapy for Treating Macular Degeneration,"$516,376",$0,3 yrs 0 mth 
"Shlien, Adam",Hospital for Sick Children (Toronto),Project Grant,202303PJT,Commercialization,Development of an RNA-based test for diagnosing and monitoring bone and soft tissue cancers,"$240,976",$0,1 yr 0 mth 
"Sutherland, Garnette R",University of Calgary,Project Grant,202303PJT,Commercialization,An Intelligent Workstation for Robot-Assisted Microsurgery & Tele-Operations,"$780,300",$0,3 yrs 0 mth 
"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Project Grant,202303PJT,Commercialization,Developing a potent non-addictive analgesic as an alternative to conventional opioids,"$665,550",$0,3 yrs 0 mth 
"Zaugg, Michael",University of Alberta,Project Grant,202303PJT,Commercialization,"Vegaven, a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition","$818,550",$0,3 yrs 0 mth 
"Chen, Yen-I",Research Institute of the McGill University Health Centre,PRIZE - Project Grant - PA: Prize: Early Career Investigator in Cancer,202309PJF,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,"$25,000",$0,1 yr 0 mth 
"Chen, Yen-I; Forbes, Nauzer",Research Institute of the McGill University Health Centre,Project Grant,202309PJT,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,"$451,350",$0,2 yrs 0 mth 
"Garnis, Cathie",University of British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,"$474,300",$0,4 yrs 0 mth 
"Leonardi, Mathew",McMaster University,Project Grant,202309PJT,Commercialization,Commercialization of a diagnostic test for endometriosis,"$634,949",$0,3 yrs 0 mth 
"Minchinton, Andrew I",University of British Columbia,Project Grant,202309PJT,Commercialization,Development of clinical candidate hypoxia-activated DNA-PK inhibitors,"$979,200",$0,4 yrs 0 mth 
"Pearson, Christopher E",Hospital for Sick Children (Toronto),Project Grant,202309PJT,Commercialization,Pre-clinical studies of a small-molecule to reverse neurodegenerative disease-causing mutations for its commercialization and application,"$719,101",$0,3 yrs 0 mth 
"Alain, Tommy; Graber, Tyson",Children's Hospital of Eastern Ontario Research Institute Inc,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,"$100,000",$0,1 yr 0 mth 
"Lin, Sheng-Xiang",Université Laval,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Pre-clinical pharmacokinetic and efficacy assays with an efficient 17beta-hydroxysteroid dehydrogenase type 7 inhibitor for breast cancer therapy,"$100,000",$0,1 yr 0 mth 
"Foster, Leonard J",University of British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine with Global Impact,"$100,000",$0,1 yr 0 mth 
"Bear, Christine E",Hospital for Sick Children (Toronto),Project Grant,202403PJT,Commercialization,Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,"$325,125",$0,2 yrs 0 mth 
"Daugaard, Mads",University of British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,"$730,576",$0,4 yrs 0 mth 
"Hysi, Eno; Yuen, Darren A",Unity Health Toronto,Project Grant,202403PJT,Commercialization,Commercialization of H-scan: a new tool for imaging kidney fibrosis,"$726,750",$0,3 yrs 0 mth 
"Tavallaei, Mohammad A",Toronto Metropolitan University,Project Grant,202403PJT,Commercialization,Design Revisions and Validations of a Catheter Steering and Navigation System For Peripheral Endovascular Revascularization,"$501,076",$0,3 yrs 0 mth 
"Walker, Gilbert C; de Rezende, Joao B; Dos Santos, Claudia C",University of Toronto,Project Grant,202403PJT,Commercialization,Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,"$508,725",$0,2 yrs 0 mth 
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Project Grant - PA: Breast Cancer Research,202403PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,"$100,000",$0,1 yr 0 mth 
"Foster, Leonard J",University of British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine with Global Impact,"$100,000",$0,1 yr 0 mth 
"Shrivastav, Anuraag; Singh, Harminder",University of Winnipeg,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202409DCP,Commercialization,Efficacy of NMT2-Blood Test in Detecting Colorectal Polyps and Cancer,"$100,000",$0,1 yr 0 mth 
"Foster, Leonard J",University of British Columbia,Project Grant - Priority Announcement: Global Health Research - CRPPHE,202409GL1,Commercialization,Accelerating Next-Generation Vaccine Development to Combat the Global Mpox Crisis,"$100,000",$0,1 yr 0 mth 
"Crome, Sarah A",University Health Network (Toronto),Project Grant,202409PJT,Commercialization,Development of a novel immunoregulatory cell therapy,"$990,675",$0,5 yrs 0 mth 
"Hoare, Todd R",McMaster University,Project Grant,202409PJT,Commercialization,"Validation of injectable, long-lasting, and ultra-lubricious hydrogels for effective osteoarthritis treatment","$673,201",$0,3 yrs 0 mth 
"Lai, Yongjun; Campbell, Robert J","Queen's University (Kingston, Ontario)",Project Grant,202409PJT,Commercialization,Smart Contact Lens Sensors to Advance Intraocular Pressure Monitoring for Glaucoma Patients and At-Risk Individuals,"$596,700",$0,3 yrs 0 mth 
"MacVicar, Brian A",University of British Columbia,Project Grant,202409PJT,Commercialization,Lipid Nanoparticle-messenger RNA (LNP-mRNA) as a versatile therapeutic platform for brain diseases,"$577,574",$0,3 yrs 0 mth 
"Magolan, Jakob",McMaster University,Project Grant,202409PJT,Commercialization,Advanced pre-clinical development of selective IMPDH2 inhibitors for the treatment and prevention of brain metastases.,"$1,162,800",$0,2 yrs 0 mth 
"Olson, David M; Chemtob, Sylvain",University of Alberta,Project Grant,202409PJT,Commercialization,Prolonging gestation and improving newborn outcomes with a novel IL-1 receptor modulator,"$1,269,901",$0,3 yrs 0 mth 
"Russell, James A",University of British Columbia,Project Grant,202409PJT,Commercialization,Development of Lipid nanoparticle RNA systems as novel therapeutics for endotoxemia resulting from severe bacterial infections,"$719,101",$0,3 yrs 0 mth 
"Zeng, Haishan; Lam, Stephen",University of British Columbia,Project Grant,202409PJT,Commercialization,Endoscopic Laser Raman Spectroscopy for Minimally Invasive Detection of Peripheral Lung Cancer,"$814,724",$0,4 yrs 0 mth 
"Afilalo, Jonathan",McGill University,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Buccal Lamin A as a Novel Biomarker for Frailty,"$160,000",$0,1 yr 0 mth 
"Agrawal, Babita",University of Alberta,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel cross-protective (universal) vaccine for influenza infections,"$159,990",$0,1 yr 0 mth 
"Agrawal, Babita",University of Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,New dual-mode antiviral agents for the treatment of hepatitis C virus infection,"$159,984",$0,1 yr 0 mth 
"Alaoui-Jamali, Moulay A",McGill University,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,"$160,000",$0,1 yr 0 mth 
"Alfieri, Carolina","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,"$159,612",$0,1 yr 0 mth 
"Allard, Michael F",University of British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,"$150,000",$0,1 yr 0 mth 
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Nefopam as an agent to prevent and treat hyperplastic scars,"$159,975",$0,1 yr 0 mth 
"Andersen, Raymond J",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,"Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis","$159,750",$0,1 yr 0 mth 
"Arthur, Gilbert",University of Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,"$137,617",$0,1 yr 0 mth 
"Banerjee, Diponkar",University of British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,"$150,000",$0,1 yr 0 mth 
"Beaulieu, Jean-François",Université de Sherbrooke,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Improving the diagnosis of colorectal cancer using fecal mRNA and protein markers: The integrin alpha 6A subunit,"$160,000",$0,1 yr 0 mth 
"Beaulieu, Martin",Université Laval,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Cells lines for screening GPCR/Nav signaling compound,"$160,000",$0,1 yr 0 mth 
"Bell, John C",Ottawa Hospital Research Institute,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Biological Viral Sensitizers for GMP Manufacturing,"$123,000","$37,000",1 yr 0 mth 
"Bell, John C",Ottawa Hospital Research Institute,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,"$136,750",$0,1 yr 0 mth 
"Benard, Francois",University of British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours","$160,000",$0,1 yr 0 mth 
"Bergeron, Michel G",Université Laval,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,"Développement, optimisation et multiplexage d'un oligonucléotide synthétique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule étape. PDP PhaseI","$160,000",$0,1 yr 0 mth 
"Bernatchez, Pascal N",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,"$158,389",$0,1 yr 0 mth 
"Boerkoel, Cornelius F",University of British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,"$159,927",$0,1 yr 0 mth 
"Bohbot, Véronique",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,"$160,000",$0,1 yr 0 mth 
"Boivin, Guy",Université Laval,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,"$150,000",$0,1 yr 0 mth 
"Booth, Valerie K",Memorial University of Newfoundland,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,"$156,920",$0,1 yr 0 mth 
"Bossé, Yohan",Université Laval,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,"$148,348",$0,1 yr 0 mth 
"Boyd, Daniel",Dalhousie University (Nova Scotia),Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Commercialization of a Radiopaque Spherical Embolic Agent.,"$159,097",$0,1 yr 0 mth 
"Brodt, Pnina",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,"$299,934",$0,1 yr 0 mth 
"Brouillette, Martin",Université de Sherbrooke,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,"$155,180",$0,1 yr 0 mth 
"Brown, Jeremy A",Dalhousie University (Nova Scotia),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A High-Resolution Ultrasonic Endoscope for the Auditory System,"$108,000","$10,600",1 yr 0 mth 
"Brukner, Ivan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,"$131,513",$0,1 yr 0 mth 
"Burns, David H",McGill University,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,"$150,000",$0,1 yr 0 mth 
"Burt, Helen M",University of British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,"$157,412",$0,1 yr 0 mth 
"Burt, Helen M",University of British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Intravesical Docetaxel Formulation for the Treatment of Ta/T1 Stage Bladder Cancer,"$294,600",$0,1 yr 0 mth 
"Cashman, Neil R",University of British Columbia,Proof of Principle Program - Phase II,201209PP2,Proof of Principle,A defined cyclic peptide epitope specific to Abeta oligomers:   Active and passive vaccination in mouse models of Alzheimer's disease,"$300,000",$0,1 yr 0 mth 
"C.-Gaudreault, René",Université Laval,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Optimization and Validation of Highly Cytocidal Substituted Phenyl Imidazolidin-2-one as Antimicrotubule Agents for Cancer Chemotherapy,"$160,000",$0,1 yr 0 mth 
"Chan, Tak Hang",McGill University,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,Evaluation of novel flavonoids in models of hematological cancer,"$300,000",$0,1 yr 0 mth 
"Charron, Thierry",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Innovative device to reduce myocardial infarct size and no-reflow : Proof of concepts in humans,"$159,300",$0,1 yr 0 mth 
"Chauhan, Vijay S",University Health Network (Toronto),Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Rotor Mapping in Human Atrial Fibrillation,"$149,015","$10,634",1 yr 0 mth 
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Proof of Principle Program - Phase II,201003PP2,Proof of Principle,IL-1  Allosteramers to treat diabetes and its complications,"$300,000",$0,1 yr 0 mth 
"Cherkasov, Artem; Rennie, Paul S",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,"$150,030",$0,1 yr 0 mth 
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Development of endorectal MR elastography for prostate cancer detection,"$153,344",$0,1 yr 0 mth 
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,"$147,500",$0,1 yr 0 mth 
"Coderre, Terence J",McGill University,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,"$160,000",$0,1 yr 0 mth 
