Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,normalized_Project_Title
"Wasan, Kishor M",University of British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,"$200,000",$0,1 yr 0 mth ,Infection and Immunity,,2009-01-01,2009-12-31,development of a novel oral amphotericin b formulation for the treatment of systemic fungal infections
"Li, Shyh-Dar","Ontario Institute for Cancer Research (Toronto, Ontario)",Proof of Principle Program - Phase I,201202PPP,Proof of Principle,"Benchmark Cellax, a proprietary nanoparticle formulation for docetaxel, against Taxotere to treat metastatic castration resistant prostate cancer","$160,000",$0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,2012-10-01,2013-09-30,benchmark cellax a proprietary nanoparticle formulation for docetaxel against taxotere to treat metastatic castration resistant prostate cancer
"Jarvi, Keith A",Sinai Health System (Toronto),Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"Novel semen biomarkers to identify sperm production in men with infertility: A non-invasive method to characterize men with azoospermia or no sperm in the semen, into those with and without testicular sperm production","$152,499",$0,1 yr 0 mth ,"Human Development, Child and Youth Health",INFERTILITY MALE; GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY,2011-04-01,2012-03-31,novel semen biomarkers to identify sperm production in men with infertility a noninvasive method to characterize men with azoospermia or no sperm in the semen into those with and without testicular sperm production
"Kelley, Shana O",University of Toronto,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,The xViva CTC capture chip: a device for tumor cell sorting and classification,"$160,000",$0,1 yr 0 mth ,Genetics,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; GENETICS; CANCER,2014-10-01,2015-09-30,the xviva ctc capture chip a device for tumor cell sorting and classification
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,"$1,503,225",$0,5 yrs 0 mth ,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",2023-04-01,2028-03-31,enabling commercialization of retinal gene therapy for zellweger spectrum disorder
"Yudin, Andrei",University of Toronto,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Arrays of constrained histone tail mimetics for the development of epigenetic anticancer drugs,"$85,712","$74,288",1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2011-10-01,2012-09-30,arrays of constrained histone tail mimetics for the development of epigenetic anticancer drugs
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Cancer vaccines targeting the ganglioside tumor-marker GD2,"$157,600",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER; IMMUNOLOGY-TRANSPLANTATION,2012-10-01,2013-09-30,cancer vaccines targeting the ganglioside tumormarker gd2
"Gong, Siew-Ging",University of Toronto,Project Grant,202203PJT,Commercialization,Streptococcus salivarius Probiotics Against Dental Caries Pathogens,"$535,501",$0,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Commercialization-Intellectual Property; Health Determinants-Etiology of Disease and Conditions; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2022-10-01,2026-09-30,streptococcus salivarius probiotics against dental caries pathogens
"Kumar, Rakesh",University of Alberta,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of new class of antiviral drugs for influenza A virus infections,"$156,590",$0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; DRUG RESEARCH,2013-04-01,2014-03-31,development of new class of antiviral drugs for influenza a virus infections
"Conway, Edward M",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Novel therapeutic approach for 'wet' and 'dry' age-related macular degeneration,"$160,000",$0,1 yr 0 mth ,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; AGING,2014-10-01,2015-09-30,novel therapeutic approach for wet and dry agerelated macular degeneration
"Coles, John G",Hospital for Sick Children (Toronto),Project Grant,201709PJT,Commercialization,Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,"$512,550",$0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",2018-04-01,2021-03-31,integrin linked kinase as a novel therapeutic target for heart failure
"Dmitrienko, Gary I",University of Waterloo (Ontario),Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel beta lactamase inhibitors to combat antibiotic resistance,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2009-07-01,2010-06-30,novel beta lactamase inhibitors to combat antibiotic resistance
"Ma, Hongshen",University of British Columbia,Project Grant,201909PJT,Commercialization,Non-contact screening technology to expedite cell line development for antibody production,"$524,026",$0,3 yrs 0 mth ,Cancer Research,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2020-04-01,2023-03-31,noncontact screening technology to expedite cell line development for antibody production
"Alfieri, Carolina","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,"$159,612",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,2014-10-01,2015-09-30,development of a peptide mimetic vaccine for prevention of epsteinbarr virus infectious mononucleosis and related cancers
"Rogers, Ian M",Sinai Health System (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Cell therapy for the treatment of type 1 Diabetes,"$150,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM/DIABETES,2010-04-01,2011-03-31,cell therapy for the treatment of type 1 diabetes
"Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Proof of Principle Program - Phase I,201509PPP,Proof of Principle,"""Bone Tape"": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton","$160,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",2016-04-01,2017-03-31,bone tape optimization of a novel method for reconstructing the craniomaxillofacial skeleton
"Gobbi, Gabriella",McGill University,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,"$160,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,2017-03-31,novel firstinclass mt2 melatonin receptor partial agonists for neuropathic pain
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Methods of Diagnosing Idiopathic Scoliosis and related Spinal Disorders,"$250,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; MOLECULAR BIOLOGY",2009-07-01,2010-06-30,methods of diagnosing idiopathic scoliosis and related spinal disorders
"Li, Shyh-Dar",University of British Columbia,Project Grant,201909PJT,Commercialization,Validation and commercialization of an innovative analgesic for chronic pain,"$524,026",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2020-04-01,2023-03-31,validation and commercialization of an innovative analgesic for chronic pain
"Sherar, Michael D",University Health Network (Toronto),Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Treatment Planning and Guidance Software Platform for Minimally Invasive Ablation Therapies,"$145,925","$10,000",1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BIOPHYSICS; CANCER,2013-04-01,2014-03-31,treatment planning and guidance software platform for minimally invasive ablation therapies
"Tamimi, Faleh",McGill University,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Biocompatible inorganic nanogel system for medical applications,"$150,160",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INJURY, REGENERATION; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH",2013-04-01,2014-03-31,biocompatible inorganic nanogel system for medical applications
"Daugaard, Mads",University of British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,"$730,576",$0,4 yrs 0 mth ,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,2024-10-01,2028-09-30,an integrated aipowered platform for cell analytics
"Zeng, Haishan",University of British Columbia,Project Grant,201709PJT,Commercialization,Real-time Endoscopic Raman Spectroscopy for Improving Dysplasia/Colorectal Cancer Detection in Patients with Inflammatory Bowel Diseases,"$508,724",$0,4 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",2018-04-01,2022-03-31,realtime endoscopic raman spectroscopy for improving dysplasiacolorectal cancer detection in patients with inflammatory bowel diseases
"Glogauer, Michael",University of Toronto,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,"$88,399",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,2009-07-01,2010-06-30,clinical evaluation of a chairside in vitro rinse test for predicting onset and recurrent adult periodontitis
"Webb, John R",University of Victoria (British Columbia),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,"$160,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,2010-10-01,2011-09-30,preclinical development of pentarix a therapeutic vaccine for hpvassociated cancers
"Schrader, John W",University of British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses,"$160,000",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,2011-04-01,2012-03-31,preclinical evaluation of a truly human monoclonal antibody for the therapy of infections with a broad spectrum of influenza viruses
"Yang, Victor X",Toronto Metropolitan University,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Doppler Optical Coherence Tomography for Intraoperative Imaging During Skull Base Neurosurgical Procedures,"$149,984",$0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; BIOPHYSICS,2010-04-01,2011-03-31,doppler optical coherence tomography for intraoperative imaging during skull base neurosurgical procedures
"Roberge, Michel",University of British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Preclinical Development of a novel M2 Channel Inhibitor for the Treatment and Prevention of Influenza,"$160,000",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,2014-04-01,2015-03-31,preclinical development of a novel m2 channel inhibitor for the treatment and prevention of influenza
"Olson, David M",University of Alberta,Project Grant,202003PJT,Commercialization,Integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic,"$558,450",$0,3 yrs 0 mth ,"Human Development, Child and Youth Health",Commercialization-Industry Research & Development; Reproduction and Development-Fertility and Maternal Health,2020-10-01,2023-09-30,integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic
"Zhang, Li",University Health Network (Toronto),Project Grant,201903PJT,Commercialization,"Developing a platform for ""off-the-shelf"" CAR-T cell therapies for cancer using double negative T cells","$703,800",$0,4 yrs 0 mth ,Cancer Research,Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2019-10-01,2023-09-30,developing a platform for offtheshelf cart cell therapies for cancer using double negative t cells
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,Platform of synthetic specific promoters for immunotherapies and regenerative medicine,"$100,000",$0,1 yr 0 mth ,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2022-03-01,2023-03-31,platform of synthetic specific promoters for immunotherapies and regenerative medicine
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,CALIPER: A Canadian Initiative to Close the Critical Gaps in Pediatric Reference Intervals,"$66,667",$0,1 yr 0 mth,"Human Development, Child and Youth Health",HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH; POPULATION HEALTH,2011-10-01,2012-09-30,caliper a canadian initiative to close the critical gaps in pediatric reference intervals
"Ghahary, Aziz",University of British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Re -constitutable skin substitute powder kit,"$147,089",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2014-04-01,2015-03-31,re constitutable skin substitute powder kit
"Andersen, Raymond J",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,"Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis","$159,750",$0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; INFECTIOUS AND PARASITIC; DRUG RESEARCH,2010-10-01,2011-09-30,latonduine a a potent delf508cftr trafficking defect corrector with potential for treating cystic fibrosis
"Wu, Xiao Yu S",University of Toronto,Project Grant,201809PJT,Commercialization,Development of a Smart Tumor-Activated Nanodiagnostic System for Sensitive Detection of Solid Tumors and Metastases,"$470,475",$0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging,2019-04-01,2022-03-31,development of a smart tumoractivated nanodiagnostic system for sensitive detection of solid tumors and metastases
"Legault, Pascale",Universite de Montreal,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,The ARiBo technology for isolation of ribonucleoprotein complexes,"$145,412","$13,349",1 yr 0 mth ,Genetics,"CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2012-10-01,2013-09-30,the aribo technology for isolation of ribonucleoprotein complexes
"Leavitt, Blair R",University of British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities) + Project Grant,"202109OGB, 202203PJT",Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,"$861,176",$0,6 yr 0 mth ,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-03-01,2023-02-28,lipid nanoparticlemediated delivery of crisprcas9 gene editing for neurological disorders
"Dmitrienko, Gary I",University of Waterloo (Ontario),Proof of Principle Program - Phase II,201009PP2,Proof of Principle,New drugs for antibiotic resistant bacterial infections,"$133,277",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,2011-04-01,2012-03-31,new drugs for antibiotic resistant bacterial infections
"Sanche, Leon",Universite de Sherbrooke,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Developpement de composes antineoplasiques radiosensibilisants achemines par nano transporteur liposomal.,"$159,149",$0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; BRAIN TUMORS THERAPY; CANCER; DRUG RESEARCH,2012-10-01,2013-09-30,developpement de composes antineoplasiques radiosensibilisants achemines par nano transporteur liposomal
"Paganelli, Massimiliano","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Project Grant,201809PJT,Commercialization,Stem cell-derived Encapsulated Liver Tissue to treat liver failure without immunosuppression: technology maturation towards clinical translation,"$497,249",$0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Commercialization-Technology Transfer",2019-04-01,2022-03-31,stem cellderived encapsulated liver tissue to treat liver failure without immunosuppression technology maturation towards clinical translation
"Alaoui-Jamali, Moulay A",McGill University,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,"$160,000",$0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2011-10-01,2012-09-30,triple targeted kinase inhibitors capable of inhibiting breast cancer metastases
"Salcudean, Septimiu E",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Real-time Ultrasound Quantitative Elastography of the Prostate,"$143,074","$10,850",1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2013-04-01,2014-03-31,realtime ultrasound quantitative elastography of the prostate
"Husain, Mansoor",University Health Network (Toronto),Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,"$184,100","$10,600",1 yr 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CANCER THERAPY GENERAL; CARDIOVASCULAR; CELL BIOLOGY,2012-10-01,2013-09-30,development of an antiproliferative therapeutic that disrupts camcyclin e interactions in vivo
"Lubell, William D",Universite de Montreal,Project Grant,202303PJT,Commercialization,Interleukin-1 Receptor Modulating Therapy for Treating Macular Degeneration,"$516,376",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",2023-10-01,2026-09-30,interleukin1 receptor modulating therapy for treating macular degeneration
"St-Pierre, Yves","INRS - (Quebec, QC)",Project Grant,201809PJT,Commercialization,GAL-7-specific nanobodies for treatment of triple-negative breast cancer,"$371,024",$0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property,2019-04-01,2022-03-31,gal7specific nanobodies for treatment of triplenegative breast cancer
